Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       32     0.00     0.00  std::_Deque_iterator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node&, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::_Deque_iterator()
  0.00      0.00     0.00       32     0.00     0.00  std::_Deque_iterator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node&, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*>::_Deque_iterator(std::_Deque_iterator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node&, sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*> const&)
  0.00      0.00     0.00       32     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector()
  0.00      0.00     0.00       32     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.00      0.00     0.00       32     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.00     0.00       32     0.00     0.00  void std::_Destroy<unsigned long*, unsigned long>(unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.00     0.00       30     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       25     0.00     0.00  std::_Deque_iterator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2&, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::_S_buffer_size()
  0.00      0.00     0.00       24     0.00     0.00  std::remove_reference<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> >*&>::type&& std::move<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> >*&>(sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> >*&)
  0.00      0.00     0.00       21     0.00     0.00  std::_Deque_base<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, std::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::new_allocator()
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::~new_allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::_Deque_base<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, std::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2> >::_M_get_map_allocator() const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2>(std::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2> const&)
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::~allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::_Deque_iterator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2&, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::_M_set_node(sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2**)
  0.00      0.00     0.00       18     0.00     0.00  std::_Deque_iterator<sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2&, sdsl::neighbour_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::tree_node2*>::_Deque_iterator()
  0.00      0.00     0.00       18     0.00     0.00  std::remove_reference<Edge*&>::type&& std::move<Edge*&>(Edge*&)
  0.00      0.00     0.00       18     0.00     0.00  std::remove_reference<NodeEdge*&>::type&& std::move<NodeEdge*&>(NodeEdge*&)
  0.00      0.00     0.00       18     0.00     0.00  std::remove_reference<long*&>::type&& std::move<long*&>(long*&)
  0.00      0.00     0.00       16     0.00     0.00  sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_iterator()
  0.00      0.00     0.00       16     0.00     0.00  sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::~edge_iterator()
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node>::deallocate(sdsl::edge_iterator<sdsl::k2_tree<(unsigned short)2, sdsl::int_vector<(unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1>, sdsl::rank_support_v<(unsigned char)1, (unsigned char)1> > >::edge_node*, unsigned long)
